Sample Name,PosMSMSALL-CAS9-A,PosMSMSALL-CAS9-A.1,PosMSMSALL-CAS9-B,PosMSMSALL-CAS9-B.1,PosMSMSALL-CAV_A,PosMSMSALL-CAV_A.1,PosMSMSALL-CAV_B,PosMSMSALL-CAV_B.1,PosMSMSALL-CAVIN_A,PosMSMSALL-CAVIN_A.1,PosMSMSALL-CAVIN_B,PosMSMSALL-CAVIN_B.1,PosMSMSALL-CERS2_mg-A,PosMSMSALL-CERS2_mg-A.1,PosMSMSALL-CERS2_mg-B,PosMSMSALL-CERS2_mg-B.1,PosMSMSALL-CERS2-1g_A,PosMSMSALL-CERS2-1g_A.1,PosMSMSALL-CERS2-1g_B,PosMSMSALL-CERS2-1g_B.1,PosMSMSALL-CERS5-A,PosMSMSALL-CERS5-A.1,PosMSMSALL-CERS5-B,PosMSMSALL-CERS5-B.1,PosMSMSALL-Flot2-A,PosMSMSALL-Flot2-A.1,PosMSMSALL-Flot2-B,PosMSMSALL-Flot2-B.1,PosMSMSALL-RAJU-Blank,PosMSMSALL-RAJU-Blank.1,PosMSMSALL-SPTLC_A,PosMSMSALL-SPTLC_A.1,PosMSMSALL-SPTLC_B,PosMSMSALL-SPTLC_B.1,PosMSMSALL-UGCG-A,PosMSMSALL-UGCG-A.1,PosMSMSALL-UGCG-B,PosMSMSALL-UGCG-B.1,PosMSMSALL-WT_A,PosMSMSALL-WT_A.1,PosMSMSALL-WT_B,PosMSMSALL-WT_B.1
Hex2Cer 26:3;2 (LCB 18:0;2-2H2O),167.0,143.0,125.0,132.0,171.6091,182.9007,120.0,120.0,281.3523,184.3462,204.0,218.0,201.8513,202.3676,148.7205,198.0178,236.0,164.0,185.0464,204.0,223.0,260.0,215.317,225.0854,170.7278,185.8978,184.2903,233.0,0.0,0.0,93.9881,102.9734,130.0,142.0,68.0529,46.4729,88.0,91.0,229.5233,278.1255,206.0,182.0
Hex2Cer 26:2;2 (LCB 18:0;2-2H2O),53.2158,52.8015,47.4908,76.2783,27.6563,23.0569,9.0712,24.0712,0.0,13.8507,24.5211,0.0,0.0,6.0106,25.3693,0.0,11.4067,20.164,2.0477,0.0,23.5157,3.821,30.8292,0.0,9.112,16.1482,40.2658,15.3549,0.0,0.0,2.2929,0.0,0.0,2.1176,47.256,62.7063,11.1856,0.0,10.8768,6.0672,0.0,34.4747
Hex2Cer 26:2;2 (LCB 18:0;2-2H2O),167.8122,131.3388,220.0689,128.3439,342.976,331.4596,268.9979,289.4925,295.0869,224.9824,218.4164,281.9362,278.3933,268.3081,277.4941,336.4161,282.5303,234.4398,246.3098,182.2247,346.4389,319.1399,270.5176,291.2636,217.104,222.0541,243.5842,268.778,0.0,0.0,251.591,235.5228,290.0353,223.3067,187.9922,219.2679,231.3212,219.2373,329.9421,313.2847,251.0406,226.8066
Hex2Cer 26:2;2 (LCB 18:0;2-H2O),54.0,47.0,39.0,44.0,74.0,64.0,84.5341,88.7361,70.0,51.0,37.0,37.0,40.0,47.0,54.0,42.0,59.0,42.0,69.0887,44.3205,57.0,72.0,33.0,92.0,0.0,39.0,40.0,46.0,0.0,0.0,37.0,34.0,44.0,37.0,48.6404,51.9843,38.9995,52.0,62.0,57.0,51.0,40.0
Hex2Cer 26:0;2 (LCB 18:0;2-2H2O),391.224,326.4641,444.772,385.3202,175.0126,296.5953,238.6997,214.9442,215.1018,214.6494,223.6738,259.824,191.0938,277.9832,177.428,247.4005,198.1634,193.264,184.3882,175.2805,272.3885,221.63,210.0039,158.2984,191.2217,148.3167,171.3591,191.7357,0.0,0.0,259.5036,249.3002,309.7805,272.9937,373.2111,292.2522,348.9607,348.3176,304.3199,271.4133,303.6544,253.3654
Hex2Cer 26:0;2 (LCB 18:0;2-H2O),45.864,46.9869,93.5817,45.0573,57.1629,48.555,36.3429,69.8296,56.8587,24.5148,10.975,49.9676,51.3064,23.7093,2.1372,32.8839,30.9737,30.7822,50.7028,60.6364,36.6198,41.0258,28.5484,45.3276,19.5117,19.0686,10.1321,38.3566,0.0,0.0,27.8053,39.8017,40.1252,37.4849,64.0523,58.1191,86.61,70.734,34.273,57.3076,34.0147,47.6364
Hex2Cer 26:4;3 (LCB 18:0;2-H2O),34.0231,0.0,0.0,31.9383,0.0,0.0,31.9327,17.2799,0.0,10.8176,0.0,0.0,21.9685,0.0,0.0,21.0162,0.0,0.0,0.0,17.3278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9939,0.0,0.0,29.9708,21.942,24.9196,24.6292,0.0,0.0,0.0,0.0
"Hex2Cer 26:4;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",18.0,0.0,14.1298,0.0,0.0,0.0,0.0,0.0,0.0,30.9997,0.0,0.0,0.0,39.9918,31.8877,0.0,0.0,11.0,0.0,0.0,0.0,0.0,24.9899,27.0,35.9919,46.4389,0.0,23.0,0.0,0.0,0.0,29.0,0.0,38.0,15.6372,32.7349,0.0,17.0,0.0,0.0,8.0,0.0
"Hex2Cer 26:3;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",18.0658,0.0,30.039,32.0,28.0,24.0,0.0,0.0,28.0,31.8913,0.0,0.0,8.1715,16.6715,30.0061,47.6928,0.0,0.0,0.0,26.9978,0.0,0.0,0.0,0.0,48.0045,43.0177,0.0,0.0,0.0,0.0,0.0,9.9949,0.0,0.0,22.9029,28.3628,0.0,0.0,0.0,0.0,0.0,0.0
"Hex2Cer 26:3;3 (LCB 18:1;2-H2O,LCB 18:0;3-2H2O)",0.0,0.0,0.0,14.3392,0.0,8.7544,0.0,0.0,6.5468,0.0,0.0,0.0,17.5317,0.0,6.7846,5.6297,0.0,0.0,0.0,0.0,0.0,0.0,13.2081,10.0987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hex2Cer 26:3;3 (LCB 18:0;2-H2O),24.0135,0.0,0.0,19.3986,0.0,0.0,16.7874,21.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6296,0.0,0.0,0.0,0.0,0.0
Hex2Cer 26:2;3 (LCB 18:0;2-H2O),16.4875,0.0,0.0,0.0,0.0,0.0,0.0,26.6985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3997,24.8529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8326,0.0,0.0,0.0,0.0,0.0,0.0
Hex2Cer 26:0;3 (LCB 18:0;2-2H2O),42.0,0.0,34.0,32.9915,28.0,24.9423,0.0,0.0,32.9448,29.0,22.0,46.9982,0.0,0.0,0.0,0.0,40.0,29.999,0.0,0.0,25.0,44.0,34.0,45.6043,39.9663,0.0,23.0,27.0,0.0,0.0,0.0,30.0,30.0482,35.9413,24.9751,0.0,0.0,0.0,35.0,38.0,38.0,0.0
Hex2Cer 28:2;2 (LCB 18:0;2-H2O),27.0,0.0,0.0,0.0,0.0,0.0,21.9974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hex2Cer 28:0;2 (LCB 18:0;2-H2O),21.8456,9.793,0.0,0.0,0.0,0.0,36.0595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hex2Cer 26:1;4 (LCB 17:0;2-2H2O),10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hex2Cer 26:0;4 (LCB 18:0;2-2H2O),32.0,25.0,30.0,34.0,22.0,0.0,0.0,26.7233,0.0,5.8893,24.0,29.0,14.349,27.8156,49.9976,40.0,49.0,29.0,32.8367,57.8296,30.0,25.0,29.0,37.0,4.2545,0.0,37.0,40.524,0.0,0.0,17.5939,4.1387,29.9737,0.0,34.0,12.3168,37.0,39.0,32.0,17.6614,28.0,25.0
"Hex2Cer 26:0;4 (LCB 18:1;2-2H2O,LCB 18:0;3-3H2O)",109.0,79.0,74.0,71.0,162.0805,188.4947,106.1109,138.1816,51.1512,84.2431,84.8576,127.3936,91.0,80.5251,103.0,92.0,52.0,79.0,57.0,59.0,117.1816,118.0,139.1109,152.0,128.0,94.0,103.3533,130.0,0.0,0.0,30.0,12.0,30.0,22.0,0.0,0.0,0.0,0.0,38.2219,45.0,35.0,0.0
